A02BC02,13603,3331,2334,3363,5297,6817,3820,5660,2408,3726,5151,2425,5195,2787,8904,3875,9376,6581,9595,2551,5514,2653,6589,6767,8524,3526,10108,5106,7980,2110,2674,2236,2911,3229,2278,5242,4596,2383,12075,4065,5964,9469,6673,2427,3384,6511,3431,2797,6833,5914,2429,2706,2274,2757,5006,8832,2159,2354,5709,2781,4221,3376,8049,7327,4303,2529,3597,3688,7013,6939,2200,4454,11502,4052,6982,3686,3021,6425,12607,4802,2713,3907,7710,5440,4005,3795,6185,7006,2590,2411,3920,2548,2049,2352,2620,2167,2449,2558,2136,3127,3514
A02BC05,3331,4224,945,1282,1952,2470,1495,2153,951,1405,1963,1014,1939,1081,3089,1509,3239,2401,3236,1035,2048,1053,2382,2464,3002,1368,3394,1888,2804,823,1046,866,1161,1267,909,1934,1748,951,3905,1563,2202,3291,2421,980,1368,2407,1326,1083,2466,2169,954,1030,877,1065,1924,3090,893,946,2078,1083,1595,1325,2819,2615,1661,966,1365,1453,2540,2495,880,1685,3766,1535,2538,1404,1190,2356,4003,1822,1079,1487,2768,2039,1552,1473,2257,2537,1007,971,1529,1036,826,985,1063,877,971,996,877,1283,1396
A02BX13,2334,945,2923,947,1407,1762,1078,1498,682,1029,1353,743,1353,792,2145,1093,2247,1733,2307,699,1399,784,1713,1743,2048,1004,2344,1349,1990,610,734,635,790,896,687,1433,1215,710,2695,1116,1564,2298,1689,696,931,1709,958,789,1731,1553,699,782,645,809,1378,2181,646,705,1517,820,1202,970,1975,1836,1153,729,992,1006,1773,1746,654,1161,2620,1122,1803,1049,827,1662,2794,1310,745,1066,1934,1455,1100,1066,1623,1826,760,690,1084,714,611,681,713,673,704,773,609,921,973
A03DA02,3363,1282,947,4258,2012,2560,1474,2148,962,1429,1969,974,1958,1098,3063,1507,3282,2434,3305,1022,2030,1111,2397,2503,2986,1383,3444,1958,2816,864,1062,889,1201,1268,918,2007,1745,964,3938,1593,2205,3286,2387,964,1350,2423,1373,1089,2501,2204,1013,1070,900,1148,1941,3129,887,980,2166,1123,1657,1312,2909,2668,1645,987,1399,1464,2542,2502,913,1720,3826,1574,2571,1427,1227,2385,4068,1844,1090,1533,2785,2051,1551,1476,2309,2593,1025,988,1564,1026,846,941,1063,896,982,1009,875,1248,1411
A03FA01,5297,1952,1407,2012,6920,3876,2329,3274,1506,2247,2993,1521,2989,1671,4893,2300,5127,3763,5220,1541,3155,1638,3730,3823,4737,2150,5447,2931,4426,1298,1561,1367,1742,1940,1378,3014,2721,1457,6329,2406,3410,5169,3751,1439,2038,3668,2060,1682,3910,3349,1458,1629,1367,1627,2935,4863,1342,1429,3336,1673,2497,2010,4534,4075,2522,1508,2132,2192,3984,3909,1357,2647,6096,2388,3925,2148,1839,3625,6556,2834,1638,2302,4314,3170,2401,2277,3548,3994,1557,1440,2311,1540,1229,1451,1564,1357,1497,1544,1306,1921,2112
A04AA01,6817,2470,1762,2560,3876,9074,2878,4163,1784,2771,3720,1826,3838,2118,6288,2899,6590,4748,6746,1932,3981,2004,4761,4899,6109,2619,7026,3747,5657,1627,1978,1664,2234,2457,1735,3844,3418,1768,8240,2981,4343,6688,4783,1812,2575,4732,2588,2081,4905,4329,1808,2034,1730,2073,3706,6267,1638,1790,4165,2068,3142,2509,5764,5303,3166,1876,2688,2757,5074,5040,1677,3311,7927,2961,5007,2725,2262,4639,8519,3502,2014,2930,5544,4038,2977,2840,4498,5039,1957,1774,2915,1896,1598,1765,1950,1604,1871,1873,1619,2351,2628
A06AB08,3820,1495,1078,1474,2329,2878,4888,2472,1099,1660,2199,1176,2295,1314,3554,1715,3738,2765,3806,1192,2390,1231,2785,2855,3459,1651,4003,2213,3269,998,1199,1052,1353,1486,1057,2276,1976,1110,4527,1805,2516,3733,2800,1095,1571,2791,1575,1284,2896,2487,1136,1276,1038,1229,2172,3571,977,1096,2465,1267,1892,1564,3293,3071,1946,1146,1610,1661,2887,2915,1047,1978,4347,1788,2956,1644,1414,2730,4644,2094,1255,1727,3253,2406,1782,1721,2637,2919,1211,1067,1734,1191,980,1077,1219,1006,1140,1164,1009,1475,1596
A06AD11,5660,2153,1498,2148,3274,4163,2472,7420,1540,2362,3203,1620,3244,1842,5165,2422,5450,4046,5653,1656,3442,1700,4049,4128,5139,2240,5873,3158,4744,1390,1666,1416,1875,2092,1475,3290,2867,1521,6775,2573,3638,5530,4010,1556,2210,4001,2219,1825,4159,3575,1607,1753,1494,1808,3086,5179,1407,1552,3525,1788,2684,2222,4843,4423,2692,1616,2245,2373,4231,4207,1435,2833,6539,2589,4263,2317,1952,3977,6984,3025,1686,2489,4641,3391,2527,2420,3824,4313,1704,1585,2483,1617,1335,1531,1685,1392,1600,1685,1397,2068,2236
A06AD15,2408,951,682,962,1506,1784,1099,1540,3016,1022,1386,770,1442,823,2217,1081,2334,1783,2376,767,1495,779,1712,1765,2191,1002,2452,1432,2025,653,768,676,851,962,718,1476,1282,701,2796,1131,1650,2321,1746,696,986,1772,983,799,1782,1617,768,790,700,830,1386,2233,671,735,1529,833,1195,971,2085,1902,1201,723,1038,1086,1851,1787,656,1236,2689,1169,1805,1069,868,1721,2868,1340,801,1091,2006,1472,1168,1098,1660,1832,782,718,1151,778,618,707,746,634,752,754,636,901,1006
A06AD65,3726,1405,1029,1429,2247,2771,1660,2362,1022,4758,2114,1134,2200,1231,3424,1689,3641,2664,3672,1129,2262,1195,2645,2765,3298,1537,3811,2182,3136,963,1144,968,1251,1422,1024,2217,1906,1075,4380,1697,2415,3618,2695,1075,1479,2682,1471,1215,2725,2398,1070,1176,1009,1196,2095,3457,922,1028,2377,1229,1766,1483,3182,2958,1839,1099,1532,1576,2771,2759,964,1877,4241,1715,2819,1591,1316,2620,4503,1970,1198,1647,3088,2225,1727,1635,2542,2819,1137,1083,1685,1110,931,1093,1186,943,1039,1132,961,1393,1522
